flag,vessel_name,mmsi,imo,fishing_hours,fishing_area
CHN,HU YU 928,412371207,,948.81,tuvalu_eez
CHN,HU YU 928,412371207,,4348.32,kiribati1_eez
CHN,HU YU 929,412371208,,289.81,hsp4
CHN,HU YU 929,412371208,,143.82,hsp6
CHN,HU YU 929,412371208,,526.93,kirbati2_eez
CHN,HU YU 929,412371208.0,,11.02,fiji_eez
CHN,HU YU 929,412371208,,474.36,tuvalu_eez
CHN,HU YU 929,412371208,,1164.63,kiribati1_eez
CHN,HUA NAN YU 702,412464153,,736.96,rmi_eez
CHN,HUA NAN YU 702,412464153,,0.05,fsm_eez
CHN,HUA NAN YU 703,412464117,,936.94,rmi_eez
CHN,HUA NAN YU 703,412464117,,17.38,hsp1
CHN,HUA NAN YU 703,412464117,,14.47,palau_eez
CHN,HUA NAN YU 703,412464117,,29.15,fsm_eez
CHN,HUA NAN YU 705,412549143,,396.24,rmi_eez
CHN,HUA NAN YU 705,412549143,9896878.0,2213.85,rmi_eez
CHN,HUA NAN YU 705,412549143,,1.8,fsm_eez
CHN,HUA NAN YU 705,412549143,9896878.0,7.78,fsm_eez
CHN,HUA NAN YU 711,412460052,,2.24,hsp3
CHN,HUA NAN YU 711,412460052,,0.06,fsm_eez
CHN,HUA NAN YU 712,412460053,,143.95,hsp6
CHN,HUA NAN YU 712,412460053,,545.92,fsm_eez
CHN,HUA NAN YU 712,412460053,,2.7,kiribati1_eez
CHN,HUA NAN YU 718,412460005,,4.68,hsp4
CHN,HUA NAN YU 718,412460005,,908.4,fsm_eez
CHN,HUA NAN YU 719,412460006,,0.47,hsp3
CHN,HUA NAN YU 719,412460006,,263.51,hsp7
CHN,HUA NAN YU 719,412460006,,1.99,fsm_eez
CHN,HUA NAN YU 736,412460075,,128.45,hsp7
CHN,HUA NAN YU 736,412460075,,181.38,kirbati2_eez
CHN,HUA NAN YU 737,412460111,,183.99,hsp7
CHN,HUA NAN YU 738,412460112,,11.0,rmi_eez
CHN,HUA NAN YU 738,412460112,,132.96,hsp4
CHN,HUA NAN YU 738,412460112,,256.91,hsp6
CHN,HUA NAN YU 738,412460112,,1881.09,fsm_eez
CHN,HUA NAN YU 762,412465075,,2274.52,rmi_eez
CHN,HUA NAN YU 766,412465077,,3204.04,rmi_eez
CHN,HUA NAN YU 767,412465078,,3310.53,rmi_eez
CHN,HUA NAN YU 768,412467335,,3872.14,rmi_eez
CHN,HUA NAN YU 769,412467334,,2231.51,rmi_eez
CHN,HUA NAN YU 769,412467334,,2.12,fsm_eez
CHN,HUA NAN YU703,412464117,,1749.91,rmi_eez
CHN,HUA NAN YU703,412464117,,9.66,hsp1
CHN,HUA NAN YU731,412460073,,157.65,hsp4
CHN,HUA NAN YU731,412460073,,2825.58,fsm_eez
CHN,HUA NAN YU731,412460073,,16.53,tuvalu_eez
CHN,HUA NAN YU732,412460074,,1.1,fsm_eez
CHN,HUA NAN YU732,412460074,,251.96,kirbati2_eez
CHN,HUA NAN YU732,412460074,,0.22,tuvalu_eez
CHN,HUANANYU723,412460009,,225.21,hsp7
CHN,HUANANYU739,412460113,9707613.0,422.29,hsp4
CHN,HUYU927,412371206,9784738.0,6.24,rmi_eez
CHN,HUYU927,412371206,9784738.0,10.93,hsp3
CHN,HUYU927,412371206,9784738.0,0.43,usa2_eez
CHN,HUYU927,412371206,9784738.0,217.64,hsp4
CHN,HUYU927,412371206,9784738.0,47.76,hsp6
CHN,HUYU927,412371206,9784738.0,717.93,kirbati2_eez
CHN,HUYU927,412371206,9784738.0,272.32,tuvalu_eez
CHN,HUYU927,412371206,9784738.0,2997.53,kiribati1_eez
CHN,JIN FENG 5,412549294,9931032.0,70.79,hsp4
CHN,JIN FENG 5,412549294,9931032.0,47.18,hsp7
CHN,JIN FENG 5,412549294,9931032.0,38.38,kirbati2_eez
CHN,JIN FENG 5,412549294,9931032.0,173.4,kiribati1_eez
CHN,JIN FENG 58,412329644,8775780.0,4.31,hsp3
CHN,JIN FENG 6,412549295,9931020.0,2.16,hsp3
CHN,JIN FENG 6,412549295,9931020.0,71.15,hsp4
CHN,JIN FENG 6,412549295,9931020.0,49.95,hsp7
CHN,JIN FENG 6,412549295,9931020.0,57.68,hsp6
CHN,JIN FENG 6,412549295,9931020.0,83.9,kirbati2_eez
CHN,JIN FENG 6,412549295,9931020.0,178.16,kiribati1_eez
CHN,JIN HAI758,412420984,,1.76,rmi_eez
CHN,JIN HUI 58,412371222,,3.58,nauru_eez
CHN,JIN HUI 58,412371222,,0.39,hsp3
CHN,JIN HUI 58,412371222,,1.23,kirbati2_eez
CHN,JIN HUI 58,412371222,,66.08,tuvalu_eez
CHN,JIN HUI 58,412371222,,262.01,kiribati1_eez
CHN,JIN HUI 68,412549273,9885702.0,11.86,nauru_eez
CHN,JIN HUI 68,412549273,9885702.0,2.35,tuvalu_eez
CHN,JIN HUI 68,412549273,9885702.0,230.47,kiribati1_eez
CHN,JIN HUI 8,412371181,9676187.0,2.6,hsp3
CHN,JIN HUI 8,412371181,9676187.0,0.71,kirbati2_eez
CHN,JIN HUI 8,412371181,9676187.0,216.28,kiribati1_eez
CHN,JIN HUI 9,412371182,9682825.0,202.13,nauru_eez
CHN,JIN HUI 9,412371182,9682825.0,0.17,kirbati2_eez
CHN,JIN HUI 9,412371182,9682825.0,130.5,png_eez
CHN,JIN HUI 9,412371182,9682825.0,47.44,tuvalu_eez
CHN,JIN HUI 9,412371182,9682825.0,936.94,kiribati1_eez
CHN,JIN HUI 9,412371182,9682825.0,81.44,solomon_islands_eez
CHN,JIN HUI NO.6,413224000,8924381.0,78.39,nauru_eez
CHN,JIN HUI NO.6,413224000,8924381.0,0.06,fsm_eez
CHN,JIN HUI NO.6,413224000,8924381.0,100.73,png_eez
CHN,JIN HUI NO.6,413224000,8924381.0,91.79,tuvalu_eez
CHN,JIN HUI NO.6,413224000,8924381.0,511.43,kiribati1_eez
CHN,JIN SHENG NO.3,412270001,,5.39,hsp3
CHN,JIN SHENG NO.3,412270001,,512.11,hsp4
CHN,JIN SHENG NO.3,412270001,,4.69,hsp7
CHN,JIN SHENG NO.3,412270001,,25.73,hsp6
CHN,JIN SHENG NO.3,412270001,,540.74,kirbati2_eez
CHN,JIN SHENG NO.3,412270001.0,,0.41,fiji_eez
CHN,JIN SHENG NO.3,412270001,,773.8,kiribati1_eez
CHN,JIN XIANG 12,412201818,,14.81,hsp3
CHN,JIN XIANG 12,412201818,,331.2,hsp7
CHN,JIN XIANG 12,412201818,,252.4,hsp6
CHN,JIN XIANG 12,412201818.0,,5.34,fiji_eez
CHN,JIN YANG 808,413322620,,13.91,hsp6
CHN,JING YUAN628,412331091,9784570.0,2.59,rmi_eez
CHN,JING YUAN628,412331091,9784570.0,2.59,hsp3
CHN,JINSHENG8,412270059,,138.3,hsp4
CHN,JINSHENG8,412270059,,506.88,hsp7
CHN,JINSHENG8,412270059,,31.22,hsp6
CHN,JINSHENG8,412270059,,1399.45,kirbati2_eez
CHN,JINSHENG8,412270059,,969.94,kiribati1_eez
CHN,JINXIANG11,412201817,,2.82,hsp3
CHN,JINXIANG11,412201817,,730.4,hsp7
CHN,JINXIANG11,412201817,,290.35,hsp6
CHN,JINXIANG11,412201817,,4.35,kirbati2_eez
CHN,JINXIANG11,412201817.0,,6.83,fiji_eez
CHN,JINXIANG808,412209233,1038212.0,164.61,hsp7
CHN,JINXIANG808,412209233,1038212.0,163.69,hsp6
CHN,JINXIANG808,412209233,1038212.0,1147.67,kirbati2_eez
CHN,JINXIANG808,412209233,1038212.0,997.43,kiribati1_eez
CHN,JINYANG809,413322630,,5.55,hsp6
CHN,LIAOYUANYU101,412549221,,0.51,hsp1
CHN,LIAOYUANYU101,412549221,,214.65,hsp4
CHN,LIAOYUANYU101,412549221.0,,26.04,hsp5
CHN,LIAOYUANYU101,412549221,,3312.93,png_eez
CHN,LIAOYUANYU101,412549221.0,,55.0,fiji_eez
CHN,LIAOYUANYU103,412549222,,210.88,hsp4
CHN,LIAOYUANYU103,412549222.0,,21.14,hsp5
CHN,LIAOYUANYU103,412549222,,3721.89,png_eez
CHN,LIAOYUANYU103,412549222.0,,52.54,fiji_eez
CHN,LRYY616,412330102.0,,777.37,vanuatu_eez
CHN,LRYY616,412330102,,511.52,hsp4
CHN,LRYY616,412330102,,1129.88,hsp4
CHN,LRYY616,412330102.0,,1273.71,hsp5
CHN,LRYY616,412330102.0,,184.84,hsp5
CHN,LRYY616,412330102.0,,4.48,fiji_eez
CHN,LRYY937,412549102.0,,10.7,vanuatu_eez
CHN,LRYY937,412549102,,337.23,hsp4
CHN,LRYY937,412549102.0,,0.71,hsp5
CHN,LRYY937,412549102,,4763.05,png_eez
CHN,LRYY937,412549102.0,,55.33,fiji_eez
CHN,LRYY937,412549102,,35.04,solomon_islands_eez
CHN,LU RONG YUAN YU 299,412329558,,479.18,hsp4
CHN,LU RONG YUAN YU 299,412329558,,157.29,png_eez
CHN,LU RONG YUAN YU 299,412329558,,1162.54,png_eez
CHN,LU RONG YUAN YU 299,412329558.0,,0.59,fiji_eez
CHN,LU RONG YUAN YU 57,412328731.0,,2036.05,vanuatu_eez
CHN,LU RONG YUAN YU 57,412328731,,1118.5,hsp4
CHN,LU RONG YUAN YU 57,412328731.0,,253.1,hsp5
CHN,LU RONG YUAN YU 57,412328731.0,,15.42,fiji_eez
CHN,LU RONG YUAN YU 58,412328732.0,,3729.94,vanuatu_eez
CHN,LU RONG YUAN YU 58,412328732,,1743.28,hsp4
CHN,LU RONG YUAN YU 58,412328732.0,,407.36,hsp5
CHN,LU RONG YUAN YU 58,412328732.0,,6.86,fiji_eez
CHN,LU RONG YUAN YU 617,412330103.0,,973.91,vanuatu_eez
CHN,LU RONG YUAN YU 617,412330103,,1782.5,hsp4
CHN,LU RONG YUAN YU 617,412330103.0,,1036.56,hsp5
CHN,LU RONG YUAN YU 617,412330103.0,,17.96,fiji_eez
CHN,LU RONG YUAN YU 619,412330105.0,,1038.86,vanuatu_eez
CHN,LU RONG YUAN YU 619,412330105,,2027.14,hsp4
CHN,LU RONG YUAN YU 619,412330105.0,,876.07,hsp5
CHN,LU RONG YUAN YU 619,412330105.0,,49.67,fiji_eez
CHN,LU RONG YUAN YU 619,412330105,,16.5,solomon_islands_eez
CHN,LU RONG YUAN YU 888,412329459,,131.54,hsp4
CHN,LU RONG YUAN YU 888,412329459.0,,238.12,hsp5
CHN,LU RONG YUAN YU 888,412329459,,4262.71,png_eez
CHN,LU RONG YUAN YU 889,412329461,,0.02,hsp4
CHN,LU RONG YUAN YU 889,412329461,,1128.88,png_eez
CHN,LU RU YUAN YU 118,412549262,,0.1,hsp3
CHN,LU RU YUAN YU 118,412549262,,201.88,hsp4
CHN,LU RU YUAN YU 118,412549262,,579.02,hsp6
CHN,LU RU YUAN YU 118,412549262,,1646.68,tuvalu_eez
CHN,LU RU YUAN YU 118,412549262,,738.9,kiribati1_eez
CHN,LURONGYUAN559,412333793,,165.68,hsp4
CHN,LURONGYUAN559,412333793,,2256.83,png_eez
CHN,LURONGYUANYU 598,412329418,,231.72,png_eez
CHN,LURONGYUANYU137,412331011.0,,896.1,vanuatu_eez
CHN,LURONGYUANYU137,412331011.0,,966.22,vanuatu_eez
CHN,LURONGYUANYU137,412331011,,1159.04,hsp4
CHN,LURONGYUANYU137,412331011,,239.45,hsp4
CHN,LURONGYUANYU137,412331011.0,,470.09,hsp5
CHN,LURONGYUANYU137,412331011.0,,549.78,hsp5
CHN,LURONGYUANYU137,412331011.0,,3.77,fiji_eez
CHN,LURONGYUANYU137,412331011.0,,41.0,fiji_eez
CHN,LURONGYUANYU137,412331011,,15.82,solomon_islands_eez
CHN,LURONGYUANYU139,412331013.0,,959.42,vanuatu_eez
CHN,LURONGYUANYU139,412331013,,1810.56,hsp4
CHN,LURONGYUANYU139,412331013.0,,993.96,hsp5
CHN,LURONGYUANYU139,412331013.0,,31.68,fiji_eez
CHN,LURONGYUANYU205,412329422,,1176.84,hsp4
CHN,LURONGYUANYU205,412329422.0,,275.48,hsp5
CHN,LURONGYUANYU205,412329422,,3614.56,png_eez
CHN,LURONGYUANYU205,412329422.0,,7.87,fiji_eez
CHN,LURONGYUANYU206,412329423.0,,1.02,vanuatu_eez
CHN,LURONGYUANYU206,412329423,,531.07,hsp4
CHN,LURONGYUANYU206,412329423.0,,311.26,hsp5
CHN,LURONGYUANYU206,412329423,,3977.53,png_eez
CHN,LURONGYUANYU206,412329423.0,,23.61,fiji_eez
CHN,LURONGYUANYU207,412329424.0,,50.14,vanuatu_eez
CHN,LURONGYUANYU207,412329424,,803.29,hsp4
CHN,LURONGYUANYU207,412329424.0,,12.12,hsp5
CHN,LURONGYUANYU207,412329424,,4069.84,png_eez
CHN,LURONGYUANYU207,412329424.0,,21.76,fiji_eez
CHN,LURONGYUANYU207,412329424,,82.38,solomon_islands_eez
CHN,LURONGYUANYU208,412329425,,532.31,hsp4
CHN,LURONGYUANYU208,412329425.0,,2.88,hsp5
CHN,LURONGYUANYU208,412329425,,3484.92,png_eez
CHN,LURONGYUANYU208,412329425.0,,20.05,fiji_eez
CHN,LURONGYUANYU208,412329425,,2.21,solomon_islands_eez
CHN,LURONGYUANYU209,412331063.0,,10.09,vanuatu_eez
CHN,LURONGYUANYU209,412331063,,387.76,hsp4
CHN,LURONGYUANYU209,412331063,,3512.82,png_eez
CHN,LURONGYUANYU209,412331063.0,,33.17,fiji_eez
CHN,LURONGYUANYU209,412331063,,14.33,solomon_islands_eez
CHN,LURONGYUANYU210,412331064,,43.73,hsp4
CHN,LURONGYUANYU210,412331064.0,,31.42,hsp5
CHN,LURONGYUANYU210,412331064,,5728.82,png_eez
CHN,LURONGYUANYU210,412331064.0,,26.6,fiji_eez
CHN,LURONGYUANYU210,412331064,,0.06,solomon_islands_eez
CHN,LURONGYUANYU211,412331448.0,,1362.12,vanuatu_eez
CHN,LURONGYUANYU211,412331448.0,,20.9,fiji_eez
CHN,LURONGYUANYU297,412331499,9834246.0,753.19,hsp4
CHN,LURONGYUANYU297,412331499,9834246.0,2530.92,png_eez
CHN,LURONGYUANYU297,412331499.0,9834246.0,31.67,fiji_eez
CHN,LURONGYUANYU298,412329557,,387.42,hsp4
CHN,LURONGYUANYU298,412329557,,4635.45,png_eez
CHN,LURONGYUANYU298,412329557.0,,36.42,fiji_eez
CHN,LURONGYUANYU315,412549312,,367.97,hsp4
CHN,LURONGYUANYU315,412549312.0,,98.05,hsp5
CHN,LURONGYUANYU315,412549312,,5695.04,png_eez
CHN,LURONGYUANYU315,412549312.0,,27.2,fiji_eez
CHN,LURONGYUANYU316,412549313,,208.67,hsp4
CHN,LURONGYUANYU316,412549313,,3059.23,png_eez
CHN,LURONGYUANYU316,412549313.0,,3.8,fiji_eez
CHN,LURONGYUANYU317,412549314,,129.56,hsp4
CHN,LURONGYUANYU317,412549314,,4017.09,png_eez
CHN,LURONGYUANYU317,412549314.0,,12.2,fiji_eez
CHN,LURONGYUANYU326,412329416,,450.68,hsp4
CHN,LURONGYUANYU326,412329416,,5920.7,png_eez
CHN,LURONGYUANYU326,412329416.0,,8.76,fiji_eez
CHN,LURONGYUANYU356,412549104,9891971.0,256.0,hsp4
CHN,LURONGYUANYU356,412549104,9891971.0,3783.97,png_eez
CHN,LURONGYUANYU357,412549105,9891983.0,362.16,hsp4
CHN,LURONGYUANYU357,412549105,9891983.0,3554.07,png_eez
CHN,LURONGYUANYU558,412333792,,204.11,hsp4
CHN,LURONGYUANYU558,412333792,,5254.53,png_eez
CHN,LURONGYUANYU558,412333792.0,,7.15,fiji_eez
CHN,LURONGYUANYU559,412333793,,328.73,hsp4
CHN,LURONGYUANYU559,412333793,,3059.38,png_eez
CHN,LURONGYUANYU56,412328729.0,,3427.99,vanuatu_eez
CHN,LURONGYUANYU56,412328729,,1712.09,hsp4
CHN,LURONGYUANYU56,412328729.0,,223.49,hsp5
CHN,LURONGYUANYU56,412328729.0,,12.24,fiji_eez
CHN,LURONGYUANYU57,412328731.0,9691888.0,863.42,vanuatu_eez
CHN,LURONGYUANYU57,412328731,9691888.0,668.15,hsp4
CHN,LURONGYUANYU57,412328731.0,9691888.0,349.07,hsp5
CHN,LURONGYUANYU57,412328731.0,9691888.0,46.94,fiji_eez
CHN,LURONGYUANYU57,412328731,9691888.0,23.58,solomon_islands_eez
CHN,LURONGYUANYU589,412329417,,501.2,hsp4
CHN,LURONGYUANYU589,412329417,,5060.9,png_eez
CHN,LURONGYUANYU589,412329417.0,,6.41,fiji_eez
CHN,LURONGYUANYU59,412328733.0,,3716.24,vanuatu_eez
CHN,LURONGYUANYU59,412328733,,1985.77,hsp4
CHN,LURONGYUANYU59,412328733.0,,586.63,hsp5
CHN,LURONGYUANYU59,412328733.0,,3.04,fiji_eez
CHN,LURONGYUANYU596,412331166,1046623.0,6.2,tonga_eez
CHN,LURONGYUANYU596,412331166,1046623.0,324.81,hsp4
CHN,LURONGYUANYU596,412331166.0,1046623.0,457.28,hsp5
CHN,LURONGYUANYU596,412331166,1046623.0,1872.49,png_eez
CHN,LURONGYUANYU596,412331166.0,1046623.0,13.97,fiji_eez
CHN,LURONGYUANYU596,412331166,1046623.0,0.06,solomon_islands_eez
CHN,LURONGYUANYU598,412329418,,48.06,hsp4
CHN,LURONGYUANYU598,412329418,,1408.9,png_eez
CHN,LURONGYUANYU598,412329418.0,,9.24,fiji_eez
CHN,LURONGYUANYU618,412330104.0,,565.41,vanuatu_eez
CHN,LURONGYUANYU618,412330104,,1782.61,hsp4
CHN,LURONGYUANYU618,412330104.0,,1504.25,hsp5
CHN,LURONGYUANYU618,412330104.0,,7.82,fiji_eez
CHN,LURONGYUANYU618,412330104,,1.83,solomon_islands_eez
CHN,LURONGYUANYU659,412333795,,161.09,hsp4
CHN,LURONGYUANYU659,412333795.0,,3.48,hsp5
CHN,LURONGYUANYU659,412333795,,5663.04,png_eez
CHN,LURONGYUANYU659,412333795.0,,4.76,fiji_eez
CHN,LURONGYUANYU758,412329427,,37.74,hsp4
CHN,LURONGYUANYU758,412329427,,6335.91,png_eez
CHN,LURONGYUANYU758,412329427.0,,14.21,fiji_eez
CHN,LURONGYUANYU768,412329428,,0.26,hsp1
CHN,LURONGYUANYU768,412329428,,8.54,hsp4
CHN,LURONGYUANYU768,412329428,,2092.89,png_eez
CHN,LURONGYUANYU769,412329429,,3020.42,png_eez
CHN,LURONGYUANYU769,412329429.0,,15.99,fiji_eez
CHN,LURONGYUANYU776,412549261,9910856.0,18.28,hsp4
CHN,LURONGYUANYU776,412549261,9910856.0,1837.01,hsp7
CHN,LURONGYUANYU776,412549261,9910856.0,1337.3,hsp6
CHN,LURONGYUANYU776,412549261.0,9910856.0,6.18,fiji_eez
CHN,LURONGYUANYU776,412549261,9910856.0,2900.82,tuvalu_eez
CHN,LURONGYUANYU778,412329431,,91.69,hsp4
CHN,LURONGYUANYU778,412329431,,5676.38,png_eez
CHN,LURONGYUANYU778,412329431,,0.97,solomon_islands_eez
CHN,LURONGYUANYU788,412329432,,322.39,hsp4
CHN,LURONGYUANYU788,412329432,,6135.93,png_eez
CHN,LURONGYUANYU788,412329432,,0.11,solomon_islands_eez
CHN,LURONGYUANYU789,412329433,,376.82,hsp4
CHN,LURONGYUANYU789,412329433,,4574.69,png_eez
CHN,LURONGYUANYU789,412329433.0,,1.01,fiji_eez
CHN,LURONGYUANYU798,412328715,,438.47,hsp7
CHN,LURONGYUANYU798,412328715,,640.9,hsp6
CHN,LURONGYUANYU798,412328715,,12.64,kirbati2_eez
CHN,LURONGYUANYU798,412328715.0,,8.23,fiji_eez
CHN,LURONGYUANYU798,412328715,,1680.53,tuvalu_eez
CHN,LURONGYUANYU800,412336912.0,,529.74,hsp5
CHN,LURONGYUANYU800,412336912,,1573.59,hsp7
CHN,LURONGYUANYU800,412336912,,121.27,hsp6
CHN,LURONGYUANYU800,412336912.0,,17.36,fiji_eez
CHN,LURONGYUANYU900,412336913,,823.51,hsp4
CHN,LURONGYUANYU900,412336913.0,,454.86,hsp5
CHN,LURONGYUANYU900,412336913,,2402.22,hsp7
CHN,LURONGYUANYU900,412336913,,1368.29,hsp6
CHN,LURONGYUANYU900,412336913.0,,1.18,fiji_eez
CHN,LURONGYUANYU900,412336913,,1067.46,tuvalu_eez
CHN,LURONGYUANYU938,412549103.0,,0.1,vanuatu_eez
CHN,LURONGYUANYU938,412549103,,394.54,hsp4
CHN,LURONGYUANYU938,412549103,,5353.24,png_eez
CHN,LURONGYUANYU938,412549103.0,,13.68,fiji_eez
CHN,LURUYUANYU138,412549263,,174.54,hsp4
CHN,LURUYUANYU138,412549263,,509.58,hsp6
CHN,LURUYUANYU138,412549263,,247.29,hsp6
CHN,LURUYUANYU138,412549263,,312.68,kirbati2_eez
CHN,LURUYUANYU138,412549263,,1539.12,tuvalu_eez
CHN,LURUYUANYU138,412549263,,449.89,tuvalu_eez
CHN,LURUYUANYU138,412549263,,136.85,kiribati1_eez
CHN,LURUYUANYU138,412549263,,321.58,kiribati1_eez
CHN,LURUYUANYU669,412549268.0,,1046.21,vanuatu_eez
CHN,LUYUAN23,412326875,,268.34,hsp4
