flag,vessel_name,mmsi,imo,rmi_eez_fishing_hours,tonga_eez_fishing_hours,nauru_eez_fishing_hours,vanuatu_eez_fishing_hours,hsp2_fishing_hours,hsp3_fishing_hours,hsp1_fishing_hours,usa2_eez_fishing_hours,hsp4_fishing_hours,hsp5_fishing_hours,usa_eez_fishing_hours,hsp7_fishing_hours,hsp6_fishing_hours,palau_eez_fishing_hours,fsm_eez_fishing_hours,kirbati2_eez_fishing_hours,png_eez_fishing_hours,fiji_eez_fishing_hours,tuvalu_eez_fishing_hours,kiribati1_eez_fishing_hours,solomon_islands_eez_fishing_hours
CHN,HONGYANG11,412420871,,,,,,,,,,,,,11.01,,,,,,14.57,,,
CHN,HONGYANG8,412420875,,,,,,,2.63,,,,,,199.93,,,,377.43,,,,,
CHN,HONGYANG88,412420877,,,,,,,,,,,,,,,,,,,0.5,,,
CHN,HU YU 928,412371207,,,,,,,,,,429.22,24.33,,,17.35,,,784.95,,10.63,948.81,4348.32,
CHN,HU YU 929,412371208,,,,,,,,,,289.81,,,,143.82,,,526.93,,11.02,474.36,1164.63,
CHN,HUA NAN YU 702,412464153,,736.96,,,,,,,,,,,,,,0.05,,,,,,
CHN,HUA NAN YU 703,412464117,,936.94,,,,,,17.38,,,,,,,14.47,29.15,,,,,,
CHN,HUA NAN YU 705,412549143,9896878,2213.85,,,,,,,,,,,,,,7.78,,,,,,
CHN,HUA NAN YU 705,412549143,,396.24,,,,,,,,,,,,,,1.8,,,,,,
CHN,HUA NAN YU 711,412460052,,,,,,,2.24,,,,,,,,,0.06,,,,,,
CHN,HUA NAN YU 712,412460053,,,,,,,,,,,,,,143.95,,545.92,,,,,2.7,
CHN,HUA NAN YU 718,412460005,,,,,,,,,,4.68,,,,,,908.4,,,,,,
CHN,HUA NAN YU 719,412460006,,,,,,,0.47,,,,,,263.51,,,1.99,,,,,,
CHN,HUA NAN YU 736,412460075,,,,,,,,,,,,,128.45,,,,181.38,,,,,
CHN,HUA NAN YU 737,412460111,,,,,,,,,,,,,183.99,,,,,,,,,
CHN,HUA NAN YU 738,412460112,,11.0,,,,,,,,132.96,,,,256.91,,1881.09,,,,,,
CHN,HUA NAN YU 762,412465075,,2274.52,,,,,,,,,,,,,,,,,,,,
CHN,HUA NAN YU 766,412465077,,3204.04,,,,,,,,,,,,,,,,,,,,
CHN,HUA NAN YU 767,412465078,,3310.53,,,,,,,,,,,,,,,,,,,,
CHN,HUA NAN YU 768,412467335,,3872.14,,,,,,,,,,,,,,,,,,,,
CHN,HUA NAN YU 769,412467334,,2231.51,,,,,,,,,,,,,,2.12,,,,,,
CHN,HUA NAN YU703,412464117,,1749.91,,,,,,9.66,,,,,,,,,,,,,,
CHN,HUA NAN YU731,412460073,,,,,,,,,,157.65,,,,,,2825.58,,,,16.53,,
CHN,HUA NAN YU732,412460074,,,,,,,,,,,,,,,,1.1,251.96,,,0.22,,
CHN,HUANANYU723,412460009,,,,,,,,,,,,,225.21,,,,,,,,,
CHN,HUANANYU739,412460113,9707613,,,,,,,,,422.29,,,,,,,,,,,,
CHN,HUYU927,412371206,9784738,6.24,,,,,10.93,,0.43,217.64,,,,47.76,,,717.93,,,272.32,2997.53,
CHN,JIN FENG 5,412549294,9931032,,,,,,,,,70.79,,,47.18,,,,38.38,,,,173.4,
CHN,JIN FENG 58,412329644,8775780,,,,,,4.31,,,,,,,,,,,,,,,
CHN,JIN FENG 6,412549295,9931020,,,,,,2.16,,,71.15,,,49.95,57.68,,,83.9,,,,178.16,
CHN,JIN HAI758,412420984,,1.76,,,,,,,,,,,,,,,,,,,,
CHN,JIN HUI 58,412371222,,,,3.58,,,0.39,,,,,,,,,,1.23,,,66.08,262.01,
CHN,JIN HUI 68,412549273,9885702,,,11.86,,,,,,,,,,,,,,,,2.35,230.47,
CHN,JIN HUI 8,412371181,9676187,,,,,,2.6,,,,,,,,,,0.71,,,,216.28,
CHN,JIN HUI 9,412371182,9682825,,,202.13,,,,,,,,,,,,,0.17,130.5,,47.44,936.94,81.44
CHN,JIN HUI NO6,413224000,8924381,,,78.39,,,,,,,,,,,,0.06,,100.73,,91.79,511.43,
CHN,JIN SHENG NO3,412270001,,,,,,,5.39,,,512.11,,,4.69,25.73,,,540.74,,0.41,,773.8,
CHN,JIN XIANG 12,412201818,,,,,,,14.81,,,,,,331.2,252.4,,,,,5.34,,,
CHN,JIN YANG 808,413322620,,,,,,,,,,,,,,13.91,,,,,,,,
CHN,JING YUAN628,412331091,9784570,2.59,,,,,2.59,,,,,,,,,,,,,,,
CHN,JINSHENG8,412270059,,,,,,,,,,138.3,,,506.88,31.22,,,1399.45,,,,969.94,
CHN,JINXIANG11,412201817,,,,,,,2.82,,,,,,730.4,290.35,,,4.35,,6.83,,,
CHN,JINXIANG808,412209233,1038212,,,,,,,,,,,,164.61,163.69,,,1147.67,,,,997.43,
CHN,JINYANG809,413322630,,,,,,,,,,,,,,5.55,,,,,,,,
CHN,LIAOYUANYU101,412549221,,,,,,,,0.51,,214.65,26.04,,,,,,,3312.93,55.0,,,
CHN,LIAOYUANYU103,412549222,,,,,,,,,,210.88,21.14,,,,,,,3721.89,52.54,,,
CHN,LRYY616,412330102,,,,,777.37,,,,,820.7,729.275,,,,,,,,4.48,,,
CHN,LRYY937,412549102,,,,,10.7,,,,,337.23,0.71,,,,,,,4763.05,55.33,,,35.04
CHN,LU RONG YUAN YU 299,412329558,,,,,,,,,,479.18,,,,,,,,659.915,0.59,,,
CHN,LU RONG YUAN YU 57,412328731,,,,,2036.05,,,,,1118.5,253.1,,,,,,,,15.42,,,
CHN,LU RONG YUAN YU 58,412328732,,,,,3729.94,,,,,1743.28,407.36,,,,,,,,6.86,,,
CHN,LU RONG YUAN YU 617,412330103,,,,,973.91,,,,,1782.5,1036.56,,,,,,,,17.96,,,
CHN,LU RONG YUAN YU 619,412330105,,,,,1038.86,,,,,2027.14,876.07,,,,,,,,49.67,,,16.5
CHN,LU RONG YUAN YU 888,412329459,,,,,,,,,,131.54,238.12,,,,,,,4262.71,,,,
CHN,LU RONG YUAN YU 889,412329461,,,,,,,,,,0.02,,,,,,,,1128.88,,,,
CHN,LU RU YUAN YU 118,412549262,,,,,,,0.1,,,201.88,,,,579.02,,,,,,1646.68,738.9,
CHN,LURONGYUAN559,412333793,,,,,,,,,,165.68,,,,,,,,2256.83,,,,
CHN,LURONGYUANYU 598,412329418,,,,,,,,,,,,,,,,,,231.72,,,,
CHN,LURONGYUANYU137,412331011,,,,,931.1600000000001,,,,,699.245,509.93499999999995,,,,,,,,22.385,,,15.82
CHN,LURONGYUANYU139,412331013,,,,,959.42,,,,,1810.56,993.96,,,,,,,,31.68,,,
CHN,LURONGYUANYU205,412329422,,,,,,,,,,1176.84,275.48,,,,,,,3614.56,7.87,,,
CHN,LURONGYUANYU206,412329423,,,,,1.02,,,,,531.07,311.26,,,,,,,3977.53,23.61,,,
CHN,LURONGYUANYU207,412329424,,,,,50.14,,,,,803.29,12.12,,,,,,,4069.84,21.76,,,82.38
CHN,LURONGYUANYU208,412329425,,,,,,,,,,532.31,2.88,,,,,,,3484.92,20.05,,,2.21
CHN,LURONGYUANYU209,412331063,,,,,10.09,,,,,387.76,,,,,,,,3512.82,33.17,,,14.33
CHN,LURONGYUANYU210,412331064,,,,,,,,,,43.73,31.42,,,,,,,5728.82,26.6,,,0.06
CHN,LURONGYUANYU211,412331448,,,,,1362.12,,,,,,,,,,,,,,20.9,,,
CHN,LURONGYUANYU297,412331499,9834246,,,,,,,,,753.19,,,,,,,,2530.92,31.67,,,
CHN,LURONGYUANYU298,412329557,,,,,,,,,,387.42,,,,,,,,4635.45,36.42,,,
CHN,LURONGYUANYU315,412549312,,,,,,,,,,367.97,98.05,,,,,,,5695.04,27.2,,,
CHN,LURONGYUANYU316,412549313,,,,,,,,,,208.67,,,,,,,,3059.23,3.8,,,
CHN,LURONGYUANYU317,412549314,,,,,,,,,,129.56,,,,,,,,4017.09,12.2,,,
CHN,LURONGYUANYU326,412329416,,,,,,,,,,450.68,,,,,,,,5920.7,8.76,,,
CHN,LURONGYUANYU356,412549104,9891971,,,,,,,,,256.0,,,,,,,,3783.97,,,,
CHN,LURONGYUANYU357,412549105,9891983,,,,,,,,,362.16,,,,,,,,3554.07,,,,
CHN,LURONGYUANYU558,412333792,,,,,,,,,,204.11,,,,,,,,5254.53,7.15,,,
CHN,LURONGYUANYU559,412333793,,,,,,,,,,328.73,,,,,,,,3059.38,,,,
CHN,LURONGYUANYU56,412328729,,,,,3427.99,,,,,1712.09,223.49,,,,,,,,12.24,,,
CHN,LURONGYUANYU57,412328731,9691888,,,,863.42,,,,,668.15,349.07,,,,,,,,46.94,,,23.58
CHN,LURONGYUANYU589,412329417,,,,,,,,,,501.2,,,,,,,,5060.9,6.41,,,
CHN,LURONGYUANYU59,412328733,,,,,3716.24,,,,,1985.77,586.63,,,,,,,,3.04,,,
CHN,LURONGYUANYU596,412331166,1046623,,6.2,,,,,,,324.81,457.28,,,,,,,1872.49,13.97,,,0.06
CHN,LURONGYUANYU598,412329418,,,,,,,,,,48.06,,,,,,,,1408.9,9.24,,,
CHN,LURONGYUANYU618,412330104,,,,,565.41,,,,,1782.61,1504.25,,,,,,,,7.82,,,1.83
CHN,LURONGYUANYU659,412333795,,,,,,,,,,161.09,3.48,,,,,,,5663.04,4.76,,,
CHN,LURONGYUANYU758,412329427,,,,,,,,,,37.74,,,,,,,,6335.91,14.21,,,
CHN,LURONGYUANYU768,412329428,,,,,,,,0.26,,8.54,,,,,,,,2092.89,,,,
CHN,LURONGYUANYU769,412329429,,,,,,,,,,,,,,,,,,3020.42,15.99,,,
CHN,LURONGYUANYU776,412549261,9910856,,,,,,,,,18.28,,,1837.01,1337.3,,,,,6.18,2900.82,,
CHN,LURONGYUANYU778,412329431,,,,,,,,,,91.69,,,,,,,,5676.38,,,,0.97
CHN,LURONGYUANYU788,412329432,,,,,,,,,,322.39,,,,,,,,6135.93,,,,0.11
CHN,LURONGYUANYU789,412329433,,,,,,,,,,376.82,,,,,,,,4574.69,1.01,,,
CHN,LURONGYUANYU798,412328715,,,,,,,,,,,,,438.47,640.9,,,12.64,,8.23,1680.53,,
CHN,LURONGYUANYU800,412336912,,,,,,,,,,,529.74,,1573.59,121.27,,,,,17.36,,,
CHN,LURONGYUANYU900,412336913,,,,,,,,,,823.51,454.86,,2402.22,1368.29,,,,,1.18,1067.46,,
CHN,LURONGYUANYU938,412549103,,,,,0.1,,,,,394.54,,,,,,,,5353.24,13.68,,,
CHN,LURUYUANYU138,412549263,,,,,,,,,,174.54,,,,378.435,,,312.68,,,994.5049999999999,229.21499999999997,
CHN,LURUYUANYU669,412549268,,,,,1046.21,,,,,,,,,,,,,,,,,
CHN,LUYUAN23,412326875,,,,,,,,,,268.34,100.97,,,,,,,5128.01,21.82,,,2.47
CHN,LUYUAN24,412326876,,,,,,,,,,374.45,94.73,,,,,,,5046.75,15.75,,,
CHN,NAN,412328732,,,,,171.7,,,,,221.38,54.58,,,,,,,,,,,
CHN,NAN,412706139,,,,,,359.72,,143.12,,,,,,,,,,,,,,
CHN,NINGTAI717,412549269,8778770,,,,,,6.76,,,,,,,,,,,,,,,
CHN,PING TAI RONG 13,412420238,,,,,,,,,,,,,6.94,,,,,,,,,
CHN,PING TAI RONG 318,412421091,,,,,,,,,,,,,,,,,,,13.93,,,
CHN,PING TAI RONG 9,412420236,,,,,,,,,,,,,104.86,,,,,,,,,
CHN,PING TAIRONG 25,412420583,,,,,,,,,,,,,,,,,,,9.91,,,
CHN,PINGTAIRONG39,412420237,,,,,,,,,,,,,7.18,,,,,,,,,
CHN,PINGTAIRONG71,412420821,,,,,,,109.23,,,,,,,,,,,,,,,
CHN,PINGTAIRONG79,412420942,,,11.42,,,,,,,,,,,,,,,,8.39,,,
CHN,PINGTAIRONG89@B,412420946,,,,,,,,,,,,,,,,,,,5.41,,,
CHN,PTR31,412420239,,,,,,,,,,,,,4.4,,,,,,,,,
CHN,RONG HENG 13,412354269,8689230,,5.35,,,,,,,,,,,,,,,,0.6,,,
CHN,RONG HENG 87,412354264,8690356,,,,,,,,,,,,,,,,,,10.53,,,
CHN,RONGDAYANG19,412328797,,,,,,,,,,116.7,,,324.59,103.94,,,1181.5,,,2151.35,102.37,
CHN,RONGDAYANG28,412328796,9679696,,,,,,,,,130.84,,,,127.77,,,,,4.38,855.88,4.12,
CHN,RONGDAYANG28,412328796,,,,,,,,,,,,,123.81,,,,354.92,,,,,
CHN,RONGDAYANG29,412328795,,,,,,,,,,2.23,,,39.0,104.19,,,432.06,,,791.14,119.38,
CHN,RONGDAYANG9,413322630,,,,,1348.99,,,,,,,,,,,,,,,,,
CHN,RUNDA3,412328793,,,,,,,,,,53.91,433.38,,1074.49,1635.66,,,,,0.26,1984.5,,
CHN,SHEN GANG FA 15,412460281,,,,,,,,,,,,,,,,1054.03,,500.47,,,,
CHN,SHEN GANG FA 16,412460282,,,,,,,,,,,,,,,,1307.99,,1746.86,,,,
CHN,SHEN GANG FA 17,412460283,,,,,,,,,,,,,,,,330.63,,,,,,
CHN,SHEN GANG FA 18,412460284,,,,,,,,,,829.19,,,,,,1613.76,,1494.37,,,,
CHN,SHEN GANG FA 19,412460285,,,,,,,,,,48.36,,,,,,2332.84,,1500.67,,,,
CHN,SHEN GANG FA 715,412460286,,,,,,,,,,47.33,,,,,,4068.54,,1809.59,,,,
CHN,SHEN GANG FA 716,412460287,,,,,,,,,,48.1,,,,,,3372.0,,1604.48,,,,
CHN,SHEN GANG FA 718,412460288,,,,,,,,,,,,,,,,3245.92,,2130.14,,,,
CHN,SHEN GANG FA 719,412460289,,,,,,,,,,205.79,,,,,,1722.9199999999998,,901.6800000000001,,,,
CHN,SHEN LIAN CHENG 602,412549621,1076680,1616.56,,,,,,,,,,,,,,0.33,,,,,,
CHN,SHEN LIAN CHENG 603,412549622,1076707,1547.37,,,,,,,,,,,,,,,,,,,,
CHN,SHEN LIAN CHENG 710,412699440,,853.86,,,,,,,,,,,,,,11.99,,,,,,
CHN,SHEN LIAN CHENG 783,412474535,,1596.28,,,,,,,,,,,,,,,,,,,,
CHN,SHEN LIAN CHENG 784,412475079,,2700.02,,,,,,,,,,,,,,,,,,,,
CHN,SHEN LIAN CHENG 785,412475113,,2781.99,,,,,,,,,,,,,,0.36,,,,,,
CHN,SHEN LIAN CHENG 788,412549142,9896581,2428.54,,,,,,,,,,,,,,0.18,,,,,,
CHN,SHEN LIAN CHENG 791,412421077,,1559.59,,,,,,,,,,,,,,,,,,,,
CHN,SHEN LIAN CHENG 792,412421081,,3404.98,,,,,,,,,,,,,,,,,,,,
CHN,SHEN LIAN CHENG 793,412421109,,3143.08,,,,,,,,,,,,,,,,,,,,
CHN,SHEN LIAN CHENG 796,412549006,,2636.16,,,,,,,,,,,,,,3.84,,,,,,
CHN,SHEN LIAN CHENG 797,412549007,,4026.32,,,,,,,,,,,,,,,,,,,,
CHN,SHEN LIAN CHENG 881,412460114,,,,,,,,,,139.52,,,,34.36,,447.81,,,,,997.83,
CHN,SHEN LIAN CHENG 882,412460115,,,,,,,,,,19.01,,,343.11,47.85,,1358.22,524.61,,,6.76,,
CHN,SHEN LIAN CHENG 883,412460116,,,,,,,,,,,,,,,,,172.86,,,,,
CHN,SHENGANGFA17@17,412460283,,,,,,,,,,15.58,,,,,,,,607.59,,,,
CHN,SHENGANGFA720,412463406,,,,,,,,,,,,,,,,3661.45,,2201.13,,,,
CHN,SHENLIANCHENG601,412698170,9990492,3242.86,,,,,,,,,,,,,,3.48,,,,,,
CHN,SHENLIANCHENG7,412549141,9896555,2513.3,,,,,,,,,,,,,,0.52,,,,,,
CHN,SHENLIANCHENG760,412460054,,2765.64,,,,,,,,,,,,,,,,,,,,
CHN,SHENLIANCHENG761,412460055,8655162,1771.05,,,,,,,,,,,,,,,,,,,,
CHN,SHENLIANCHENG781,412468636,,2865.8,,,,,,29.36,,,,,,,,21.82,,,,,,
CHN,SHENLIANCHENG786,412475114,,2840.76,,,,,,,,,,,,,,0.28,,,,,,
CHN,SHENLIANCHENG790,412699520,9987940,3141.64,,,,,,,,,,,,,,,,,,,,
CHN,SHENLIANCHENG885,412460118,,,,,,,,,,,,,,,,,427.29,,,,,
CHN,SHUN DA8,413204940,,,,,,,,,,,,,,,,,,,0.39,,,
CHN,SHUN FA 8,412549219,9289221,61.0,,435.62,,,,,,,,,,,,,,,,113.2,329.97,15.05
CHN,SLC783,412474535,,552.17,,,,,,,,,,,,,,51.18,,,,,,
CHN,SLC884,412460117,,,,,,,,,,,,,,32.77,,,,,,,1148.0,
CHN,SUI YUAN YU 32,412460297,,,,,1967.18,,,,,2.15,92.79,,480.74,,,,,,61.46,,,
CHN,SUI YUAN YU 33,412499942,9873228,,,,356.55,,,,,,,,,,,,,,5.57,,,
CHN,SUI YUAN YU 35,412499943,,,9.25,,3120.23,,,,,,188.43,,,,,,,,31.14,,,
CHN,SUI YUAN YU 36,412499944,9873242,,,,369.49,,,,,,95.55,,,,,,,,4.38,,,
CHN,SUIYUANYU30,412460295,,,,,2436.83,,,,,379.11,194.33,,,,,,,,21.57,,41.41,3.64
CHN,SUIYUANYU31,412460296,,,,,1645.98,,,,,121.63,175.86,,550.36,,,,,,11.11,,,
CHN,SUIYUANYU33,412499942,,,1.53,,92.24,,,,,,,,,,,,,,11.52,,,
CHN,SUIYUANYU36,412499944,,,26.15,,769.94,,,,,,201.31,,,,,,,,7.69,,,
CHN,SUIYUANYU38,412549286,9917270,,,,1202.71,,,,,,37.3,,,,,,,,15.61,,,
CHN,SUIYUANYU39,412549287,9917282,,,,1170.79,,,,,,79.81,,,,,,,,10.13,,,
CHN,SUIYUANYU40,412549288,,,8.15,,998.06,,,,,,95.26,,,,,,,,61.53,,,
CHN,SYY30-2023-01,412302301,,,,,2450.75,,,,,295.64,243.26,,,,,,,,,,30.64,3.59
CHN,SYY30-2023-02,412302302,,,,,2390.19,,,,,,306.07,,,,,,,,,,,
CHN,SYY30-2023-03,412302303,,,,,775.44,,,,,,,,,,,,,,,,,
CHN,SYY30-2023-04,412302304,,,,,1678.66,,,,,385.49,182.29,,,,,,,,,,25.17,2.53
CHN,SYY30-2023-05,412302305,,,,,2426.04,,,,,409.84,197.55,,,,,,,,,,53.99,6.72
CHN,SYY30-2023-06,412302306,,,,,1928.93,,,,,241.23,126.04,,,,,,,,,,32.7,
CHN,SYY31-2023-01,412312301,,,,,754.71,,,,,72.7,91.01,,355.86,,,,,,,,,
CHN,SYY31-2023-02,412312302,,,,,1755.45,,,,,609.47,42.29,,216.77,,,,,,,,,1.65
CHN,SYY31-2023-03,412312303,,,,,1899.49,,,,,691.89,85.98,,259.12,,,,,,,,,2.06
CHN,SYY31-2023-05,412312305,,,,,,,,,,288.35,,,,,,,,,,,,
CHN,SYY35-2023-02,412352302,,,,,1170.51,,,,,,163.59,,,,,,,,,,,
CHN,SYY36-2023-01,412362301,,,,,1085.85,,,,,,142.63,,,,,,,,0.52,,,
CHN,SYY36-2023-03,412362303,,,,,688.96,,,,,,,,,,,,,,,,,
CHN,SYY38-2023-01,412382301,,,,,1022.65,,,,,,21.33,,,,,,,,,,,
CHN,SYY38-2023-03,412382303,,,,,1414.86,,,,,,51.11,,,,,,,,,,,
CHN,SYY38-2023-05,412382305,,,,,1448.42,,,,,,55.86,,,,,,,,,,,
CHN,SYY39-2023-01,412392301,,,,,1332.75,,,,,,96.83,,,,,,,,,,,
CHN,TAI LONG 9,412549536,9947940,,,,,,,,,,,,,,,,,9.95,,,23.02,19.66
CHN,TIANXIANG168,412300365,,,,,1651.58,,,,,,83.3,,,,,,,,130.09,,,
CHN,XIANG FA 8,412549243,8996279,5.08,,7.86,,,,,,3.76,,,,,,,,,,,112.61,
CHN,XIN SHI JI 17 HAO,412679210,,,,,,,,,,,,,42.84,94.77,,,1494.49,,4.09,2.77,71.95,
CHN,XIN SHI JI 36,412674190,9971161,,,,,,0.65,,,,,,,,,,,,,,,
CHN,XIN SHI JI 62,412549055,9890018,,,,,,,,,,,,503.97,136.17,,,1790.34,,,,480.22,
CHN,XIN SHI JI 65,412421134,,,,,,,,,,,,,,208.82,,,2054.03,,,,1500.46,
CHN,XIN SHI JI 66,412421136,,,,,,,,,,,,,2.27,103.18,,,974.4,,,,1382.12,
CHN,XIN SHI JI 7,412985000,,,,,,,,,,,,,,,,,,,0.45,,,
CHN,XIN SHI JI 71,412695560,,,,,,,,,,,,,86.09,5.1,,,601.05,,,,484.58,
CHN,XIN SHI JI 73,412695580,,,,,,,,,,,,,489.7,66.27,,,447.48,,,,555.97,
CHN,XIN SHI JI 75,412695590,,,,,,,0.39,,,,,,0.35,63.24,,,1229.11,,,,1295.24,
CHN,XIN SHI JI 78,412695630,,,,,,,,,,,,,447.18,90.54,,,1075.88,,,,282.71,
CHN,XIN SHI JI 79,412695640,,,,,,,,,,,,,495.2,,,,2738.61,,,,,
CHN,XIN SHI JI 80,412695650,,,,,,,,,,,,,47.72,121.61,,,821.31,,,,1286.95,
CHN,XIN SHI JI 81,412695660,,,,,,,0.85,,,,,,444.54,,,,362.67,,,,,
CHN,XIN SHI JI 83,412695680,,,,,,,1.75,,,,,,34.26,,,,540.21,,,,,
CHN,XIN SHI JI NO67,412992000,,,,,,,,,,,,,10.98,,,,,,,,,
CHN,XIN SHI JI157,412420892,,,,,,,,,,,,,331.09,,,,172.31,,,,,
CHN,XIN SHI JI87,412993000,,,,,,,,,,296.97,,,40.2,2.49,,,69.51,,11.29,30.15,440.23,
CHN,XINSHIJI 111,412420918,,199.33,,102.14,,,,,,,,,,,,,,,,7.86,607.11,9.79
CHN,XINSHIJI158,412420893,,,,,,,,,,,,,333.23,,,,291.54,,,,,
CHN,XINSHIJI36,412674190,9971161,,,,,,,,,,,,33.53,,,,472.97,,,,,
CHN,XINSHIJI37,412989000,,,,,,,0.7,,,,,,124.86,,,,501.05,,,,,
CHN,XINSHIJI70,412695550,,,,,,,,,,,,,167.38,,,,467.87,,,,,
CHN,XINSHIJI77,412695620,,,,,,,,,,,,,238.72,,,,299.95,,,,32.62,
CHN,XINSHIJI7HAO,412985000,,,,,,,,,,709.83,,,65.23,42.12,,,738.27,,,211.79,1135.59,
CHN,XINSHIJI82,412695670,,,,,,,,,,,,,2.99,,,,541.6,,,,,
CHN,ZH0NG YANG 22,412463904,,,,,,,,,,,,,303.84,,,,,,26.56,,,
CHN,ZHONG RONG 32,412326882,,,,,,,,,,372.46,2.82,,,,,,,5657.02,12.26,,,
CHN,ZHONG SHUI 777,412549264,9910026,,,,649.18,,,,,,140.71,,507.81,,,,,,72.46,,,897.42
CHN,ZHONG SHUI 787,412549265,9910038,,,,856.74,,,,,,116.5,,1334.48,62.17,,,,,5.54,,,1362.16
CHN,ZHONG SHUI 797,412549266,9910040,,,,706.56,,,,,4.0,72.0,,,,,,,,40.8,,,1216.4
CHN,ZHONG SHUI 808,412326904,8629034,,,,783.28,,,,,,,,433.34,,,,,,22.88,,,1948.51
CHN,ZHONG SHUI 947,412549947,1077464,,,,,1.17,,,,,5.53,,940.95,,,,,2.55,25.57,,,
CHN,ZHONG SHVI 758,412549008,9865295,,,,2853.35,,,,,,206.54,,,,,,,,100.29,,,1495.84
CHN,ZHONG TAI NO3,412270024,9261528,371.87,,622.54,,,,,,2.65,,,,,,,,,,,1416.5,167.02
CHN,ZHONG YANG 16,412460061,,,,,,,,,,,,,71.44,,,,,,,,,
